,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,9375,28997,Entire home/apt,,,77,5.0,6,1.0,1.0,169.0,2.0,34.100375,-116.285815,2016-05-27 02:14:04.552536
1,12941,50072,Entire home/apt,,,44,5.0,2,1.0,1.0,250.0,2.0,34.103536,-116.316457,2016-05-27 02:17:59.624341
2,13281,50072,Entire home/apt,,,41,5.0,4,1.0,0.0,300.0,2.0,34.1032,-116.307553,2016-05-27 02:15:36.319859
3,32694,141491,Entire home/apt,,,79,5.0,6,2.0,2.0,195.0,,34.134648,-116.327166,2016-05-27 02:24:14.075537
4,52283,241628,Entire home/apt,,,290,5.0,2,1.0,1.0,89.0,2.0,34.121728,-116.312336,2016-05-27 02:22:27.398546
5,64825,316880,Entire home/apt,,,34,5.0,4,1.0,1.0,175.0,2.0,34.126141,-116.273237,2016-05-27 02:21:49.327746
6,64832,316880,Entire home/apt,,,43,5.0,3,1.0,1.0,135.0,2.0,34.126,-116.275171,2016-05-27 02:15:32.552250
7,118908,313104,Entire home/apt,,,15,5.0,8,3.0,2.0,241.0,2.0,34.101171,-116.281526,2016-05-27 02:20:25.939748
8,119838,604095,Entire home/apt,,,226,5.0,10,3.0,3.0,180.0,2.0,34.129744,-116.310817,2016-05-27 02:21:45.947596
9,151298,728499,Entire home/apt,,,105,5.0,6,3.0,,135.0,2.0,34.110441,-116.327261,2016-05-27 02:12:03.918382
10,184262,243727,Entire home/apt,,,63,5.0,6,2.0,2.0,250.0,2.0,34.113303,-116.285706,2016-05-27 02:24:35.213439
11,203824,999806,Entire home/apt,,,92,5.0,4,2.0,1.0,200.0,2.0,34.127487,-116.313524,2016-05-27 02:13:07.692172
12,245530,1288157,Entire home/apt,,,101,5.0,4,1.0,1.0,140.0,2.0,34.144758,-116.319689,2016-05-27 02:18:06.207621
13,268460,1407216,Entire home/apt,,,100,5.0,2,1.0,1.0,95.0,2.0,34.099317,-116.311881,2016-05-27 02:16:14.313964
14,322703,1652201,Private room,,,254,5.0,4,1.0,,60.0,1.0,34.155685,-116.300844,2016-05-27 02:11:57.781608
15,327558,1674280,Private room,,,106,4.5,2,1.0,,65.0,1.0,34.148085,-116.325504,2016-05-27 02:15:09.714687
16,416816,1674280,Shared room,,,39,5.0,2,1.0,,65.0,1.0,34.150015,-116.324246,2016-05-27 02:24:06.809435
17,435933,2165681,Entire home/apt,,,52,4.5,5,1.0,1.0,109.0,2.0,34.128673,-116.315128,2016-05-27 02:12:22.906001
18,450287,1674280,Private room,,,66,5.0,16,1.0,,30.0,1.0,34.149658,-116.32536,2016-05-27 02:12:25.716320
19,476861,2363766,Entire home/apt,,,25,5.0,3,1.0,1.0,115.0,2.0,34.12255,-116.322566,2016-05-27 02:17:16.423848
20,499485,2464919,Private room,,,327,5.0,2,1.0,,85.0,,34.126212,-116.260472,2016-05-27 02:21:39.647684
21,517357,2546820,Entire home/apt,,,32,4.5,15,4.0,,795.0,2.0,34.1979,-116.495761,2016-05-27 02:20:16.865622
22,552674,2464919,Private room,,,315,5.0,2,1.0,,85.0,,34.128324,-116.261354,2016-05-27 02:18:53.736890
23,608798,3017587,Entire home/apt,,,283,5.0,4,1.0,1.0,99.0,1.0,34.123777,-116.3177,2016-05-27 02:11:33.390946
24,634436,1700495,Entire home/apt,,,98,5.0,6,3.0,1.0,91.0,1.0,34.157983,-116.274957,2016-05-27 02:21:04.539003
25,656003,1407216,Entire home/apt,,,95,5.0,4,1.0,1.0,155.0,2.0,34.097923,-116.310429,2016-05-27 02:18:57.017819
26,718171,1723519,Entire home/apt,,,17,5.0,2,1.0,1.0,75.0,2.0,34.163644,-116.371234,2016-05-27 02:17:29.439746
27,722494,313104,Entire home/apt,,,56,5.0,6,2.0,2.0,241.0,2.0,34.125441,-116.312401,2016-05-27 02:12:28.393355
28,779000,4107555,Entire home/apt,,,63,5.0,5,1.0,,160.0,2.0,34.098219,-116.303851,2016-05-27 02:17:26.583480
29,808533,4253984,Entire home/apt,,,11,5.0,8,3.0,2.0,265.0,2.0,34.092584,-116.30611,2016-05-27 02:15:15.992387
30,836217,3794463,Entire home/apt,,,79,5.0,6,2.0,2.0,275.0,2.0,34.127811,-116.333185,2016-05-27 02:21:36.452000
31,850372,999806,Entire home/apt,,,150,4.5,4,2.0,1.0,180.0,2.0,34.126104,-116.313598,2016-05-27 02:18:37.505839
32,852460,1674280,Private room,,,19,5.0,16,1.0,1.0,200.0,1.0,34.150117,-116.32417,2016-05-27 02:12:39.939320
33,867460,3794463,Entire home/apt,,,134,5.0,4,1.0,1.0,110.0,2.0,34.130348,-116.330587,2016-05-27 02:11:49.639824
34,960322,5228169,Shared room,,,0,,2,1.0,1.0,150.0,1.0,34.13371,-116.255539,2016-05-27 02:20:51.697585
35,983536,2445388,Shared room,,,1,,16,1.0,,20.0,1.0,33.913945,-116.763038,2016-05-27 02:22:22.998925
36,1007178,5540238,Entire home/apt,,,95,5.0,8,2.0,1.0,135.0,1.0,34.154109,-116.304564,2016-05-27 02:18:25.017874
37,1052861,1318234,Entire home/apt,,,44,4.5,6,3.0,2.0,185.0,1.0,34.126849,-116.314687,2016-05-27 02:17:56.679571
38,1056726,5820467,Entire home/apt,,,19,4.5,4,2.0,2.0,135.0,2.0,34.125964,-116.316022,2016-05-27 02:24:58.068355
39,1096822,6027082,Entire home/apt,,,27,5.0,8,3.0,,241.0,2.0,34.153168,-116.360674,2016-05-27 02:18:47.392891
40,1157057,1995305,Entire home/apt,,,38,5.0,4,1.0,1.0,99.0,2.0,34.129409,-116.312466,2016-05-27 02:23:35.655765
41,1167060,5801468,Entire home/apt,,,48,5.0,2,0.0,1.0,99.0,2.0,34.123109,-116.312506,2016-05-27 02:23:57.735557
42,1213915,243632,Entire home/apt,,,49,5.0,2,1.0,1.0,85.0,2.0,34.158696,-116.343231,2016-05-27 02:12:52.355915
43,1243216,6776092,Entire home/apt,,,173,5.0,8,3.0,2.0,180.0,1.0,34.120901,-116.328259,2016-05-27 02:11:17.060381
44,1360528,7448054,Entire home/apt,,,253,5.0,4,1.0,1.0,140.0,1.0,34.093094,-116.311012,2016-05-27 02:25:22.758601
45,1404773,6339080,Entire home/apt,,,308,5.0,2,1.0,1.0,99.0,1.0,34.108465,-116.287648,2016-05-27 02:24:38.363826
46,1460787,2165681,Entire home/apt,,,47,5.0,4,1.0,1.0,109.0,2.0,34.12926,-116.313444,2016-05-27 02:12:20.417811
47,1841447,9623292,Entire home/apt,,,132,5.0,2,0.0,1.0,125.0,1.0,34.141633,-116.323609,2016-05-27 02:12:32.524920
48,1856850,9690253,Entire home/apt,,,10,4.5,2,1.0,1.0,280.0,2.0,34.135284,-116.318167,2016-05-27 02:18:18.219512
49,1857113,9690253,Entire home/apt,,,13,5.0,4,2.0,2.0,480.0,2.0,34.133778,-116.317725,2016-05-27 02:17:53.595746
50,1897720,8817689,Entire home/apt,,,148,5.0,8,2.0,,165.0,,34.093272,-116.275674,2016-05-27 02:25:35.903630
51,1938575,10028994,Entire home/apt,,,40,5.0,8,2.0,2.0,165.0,2.0,34.137284,-116.308726,2016-05-27 02:22:46.702355
52,1962091,4448528,Entire home/apt,,,74,5.0,2,0.0,1.0,80.0,,34.132244,-116.315053,2016-05-27 02:15:23.059587
53,2093755,1690563,Entire home/apt,,,233,5.0,4,2.0,1.0,185.0,2.0,34.148725,-116.28924,2016-05-27 02:25:20.163462
54,2159531,7158635,Entire home/apt,,,78,5.0,4,2.0,1.0,169.0,2.0,34.108979,-116.301787,2016-05-27 02:20:35.633578
55,2220877,8115154,Entire home/apt,,,123,5.0,2,0.0,1.0,99.0,2.0,34.098808,-116.303753,2016-05-27 02:19:11.150317
56,2261623,6082529,Private room,,,25,5.0,2,1.0,2.0,70.0,2.0,34.113218,-116.356734,2016-05-27 02:23:21.566725
57,2269447,11589458,Entire home/apt,,,16,5.0,4,2.0,,119.0,2.0,34.160906,-116.354081,2016-05-27 02:21:15.385353
58,2290160,4658595,Entire home/apt,,,89,5.0,4,2.0,1.0,135.0,2.0,34.166463,-116.30402,2016-05-27 02:24:00.803459
59,2321164,2165681,Entire home/apt,,,13,4.5,3,1.0,1.0,99.0,2.0,34.129427,-116.314322,2016-05-27 02:20:08.153531
60,2551244,13061742,Entire home/apt,,,54,5.0,4,2.0,1.0,200.0,2.0,34.108286,-116.324302,2016-05-27 02:25:14.594623
61,2683169,13735500,Entire home/apt,,,145,5.0,2,1.0,1.0,160.0,1.0,34.093773,-116.283918,2016-05-27 02:21:26.683519
62,2735768,4448528,Entire home/apt,,,118,5.0,4,2.0,1.0,145.0,,34.129171,-116.317829,2016-05-27 02:17:19.529102
63,2762744,13530079,Private room,,,70,4.5,2,1.0,1.0,35.0,1.0,34.114829,-116.389568,2016-05-27 02:17:32.876046
64,2804044,13530079,Private room,,,85,4.5,2,1.0,1.0,35.0,1.0,34.114581,-116.391208,2016-05-27 02:16:40.871717
65,2838501,14196048,Entire home/apt,,,17,5.0,6,3.0,2.0,160.0,2.0,34.111606,-116.333651,2016-05-27 02:13:54.134287
66,2838924,4448528,Entire home/apt,,,33,5.0,7,3.0,2.0,165.0,,34.131005,-116.316741,2016-05-27 02:15:52.823795
67,2887754,2165681,Entire home/apt,,,18,5.0,4,1.0,1.0,99.0,2.0,34.129451,-116.31295,2016-05-27 02:18:50.511244
68,2916183,2464919,Private room,,,27,5.0,2,1.0,1.0,125.0,1.0,34.126576,-116.26166,2016-05-27 02:15:40.439617
69,3263536,104046,Entire home/apt,,,26,5.0,10,3.0,2.0,75.0,1.0,34.11542,-116.319019,2016-05-27 02:21:12.575611
70,3353753,16922733,Entire home/apt,,,33,4.5,2,0.0,1.0,80.0,2.0,34.105167,-116.273084,2016-05-27 02:17:07.006550
71,3370071,17002651,Entire home/apt,,,14,5.0,2,1.0,2.0,140.0,2.0,34.114102,-116.335881,2016-05-27 02:17:23.231469
72,3544866,17846991,Entire home/apt,,,83,5.0,6,4.0,2.0,180.0,1.0,34.114293,-116.315704,2016-05-27 02:23:11.697531
73,3662291,6162687,Entire home/apt,,,40,5.0,4,2.0,2.0,119.0,2.0,34.142999,-116.294694,2016-05-27 02:22:38.799583
74,3834182,19742593,Shared room,,,9,4.0,6,1.0,1.0,75.0,1.0,34.236674,-116.435762,2016-05-27 02:23:28.205940
75,3890649,10028994,Entire home/apt,,,63,5.0,4,1.0,1.0,108.0,2.0,34.139168,-116.308211,2016-05-27 02:11:36.254172
76,3890857,10028994,Entire home/apt,,,61,5.0,3,1.0,1.0,99.0,2.0,34.138489,-116.309038,2016-05-27 02:19:02.359795
77,3890954,10028994,Entire home/apt,,,23,5.0,4,1.0,1.0,109.0,2.0,34.136781,-116.309166,2016-05-27 02:11:13.617693
78,3925443,11463698,Shared room,,,0,,5,1.0,1.0,25.0,2.0,34.180138,-116.347787,2016-05-27 02:24:19.725567
79,3992936,20698506,Entire home/apt,,,70,5.0,8,2.0,1.0,99.0,2.0,34.130352,-116.319586,2016-05-27 02:18:34.055778
80,4026018,3794463,Entire home/apt,,,74,5.0,6,3.0,2.0,150.0,1.0,34.126519,-116.321261,2016-05-27 02:11:40.197680
81,4046614,891576,Private room,,,0,,3,1.0,3.0,182.0,2.0,34.096803,-116.309798,2016-05-27 02:15:49.454178
82,4067133,21092711,Entire home/apt,,,17,5.0,12,3.0,3.0,185.0,2.0,34.104456,-116.389252,2016-05-27 02:21:09.682169
83,4092586,891576,Entire home/apt,,,8,5.0,5,2.0,,204.0,2.0,34.096616,-116.30993,2016-05-27 02:22:43.632091
84,4112708,13712943,Private room,,,45,5.0,2,1.0,1.0,80.0,1.0,34.099086,-116.305956,2016-05-27 02:23:24.852467
85,4136935,13061742,Entire home/apt,,,20,5.0,3,2.0,2.0,200.0,2.0,34.105408,-116.318119,2016-05-27 02:13:22.458955
86,4144802,891576,Entire home/apt,,,4,5.0,4,1.0,1.0,220.0,2.0,34.096525,-116.312675,2016-05-27 02:18:12.715939
87,4144985,891576,Entire home/apt,,,7,5.0,7,2.0,1.0,248.0,2.0,34.100329,-116.310993,2016-05-27 02:12:00.465693
88,4215222,50072,Entire home/apt,,,1,,4,1.0,2.0,250.0,7.0,34.104105,-116.307754,2016-05-27 02:23:08.110128
89,4332481,999806,Entire home/apt,,,11,5.0,6,3.0,2.0,320.0,3.0,34.126976,-116.324553,2016-05-27 02:20:48.467727
90,4423239,2909032,Entire home/apt,,,26,4.5,6,2.0,1.0,75.0,2.0,34.14542,-116.31618,2016-05-27 02:17:47.257650
91,4436872,12869620,Entire home/apt,,,97,4.5,4,2.0,1.0,95.0,1.0,34.158491,-116.370264,2016-05-27 02:14:13.432320
92,4453608,6876027,Entire home/apt,,,2,,4,2.0,1.0,179.0,3.0,34.107778,-116.319514,2016-05-27 02:15:25.722179
93,4500375,23340512,Entire home/apt,,,3,5.0,3,2.0,1.0,50.0,1.0,34.140313,-116.315937,2016-05-27 02:25:46.881434
94,4504195,14651807,Entire home/apt,,,120,5.0,2,1.0,1.0,125.0,2.0,34.094606,-116.306814,2016-05-27 02:25:38.847487
95,4557984,891576,Entire home/apt,,,2,,6,2.0,2.0,248.0,2.0,34.1151,-116.315642,2016-05-27 02:17:09.465599
96,4658786,24109517,Entire home/apt,,,21,4.5,2,0.0,1.0,100.0,1.0,34.135546,-116.314379,2016-05-27 02:14:24.929663
97,4705551,104046,Entire home/apt,,,35,5.0,12,4.0,3.0,300.0,1.0,34.117143,-116.319594,2016-05-27 02:14:10.403014
98,4803833,24748160,Private room,,,8,5.0,3,1.0,0.0,90.0,1.0,34.097593,-116.316587,2016-05-27 02:24:09.389559
99,4872511,24679602,Entire home/apt,,,55,5.0,6,2.0,,158.0,2.0,34.141378,-116.315179,2016-05-27 02:16:08.507246
100,4936417,24953463,Entire home/apt,,,45,5.0,15,3.0,2.0,99.0,2.0,34.119663,-116.318177,2016-05-27 02:16:25.090234
101,5186355,26821063,Entire home/apt,,,16,4.5,6,3.0,,345.0,2.0,34.109234,-116.331192,2016-05-27 02:18:59.672816
102,5242756,24748160,Private room,,,14,5.0,6,1.0,0.0,45.0,1.0,34.099201,-116.31494,2016-05-27 02:16:47.655757
103,5242811,24748160,Private room,,,15,5.0,4,1.0,0.0,45.0,1.0,34.098758,-116.315864,2016-05-27 02:15:59.162841
104,5268375,1674280,Private room,,,13,5.0,16,1.0,1.0,30.0,1.0,34.15004,-116.325617,2016-05-27 02:19:44.529646
105,5268510,24953463,Entire home/apt,,,45,5.0,9,3.0,2.0,99.0,2.0,34.119411,-116.31966,2016-05-27 02:19:34.721647
106,5298833,27446979,Entire home/apt,,,5,5.0,2,1.0,1.0,155.0,2.0,34.144713,-116.319109,2016-05-27 02:21:54.569780
107,5324681,1674280,Private room,,,6,4.5,16,1.0,1.0,30.0,1.0,34.148702,-116.325353,2016-05-27 02:25:17.133496
108,5333171,1318234,Entire home/apt,,,43,4.5,6,2.0,1.0,150.0,1.0,34.130174,-116.311405,2016-05-27 02:21:20.910796
109,5348014,27718038,Private room,,,62,5.0,2,1.0,1.0,65.0,1.0,34.128556,-116.317006,2016-05-27 02:14:56.941426
110,5402106,28002714,Private room,,,60,4.5,2,1.0,,42.0,1.0,34.109191,-116.328585,2016-05-27 02:11:08.178016
111,5464332,5026860,Private room,,,102,5.0,2,1.0,1.0,50.0,1.0,34.120961,-116.327531,2016-05-27 02:14:42.592585
112,5521657,28634831,Private room,,,14,4.5,2,1.0,1.0,60.0,1.0,34.112042,-116.332556,2016-05-27 02:19:25.094359
